date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:10:07	2705/2705	---MCZ	200	added ('OK')	text/xml	date:Mon,%2012%20Nov%202018%2011:10:06%20GMT	http://event-theme.com/themes/gocourierwp/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fevent-theme.com%2Fthemes%2Fgocourierwp%2F2016%2F05%2F10%2Fhello-world-2-2%2F&format=xml	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/wp-json/oembed/1.0/embedfe48	(from http://event-theme.com/themes/gocourierwp/2016/05/10/hello-world-2-2/)
00:10:11	76910/76910	---M--	200	added ('OK')	image/jpeg	date:Mon,%2027%20Feb%202017%2007:33:25%20GMT	http://event-theme.com/themes/gocourierwp/wp-content/uploads/2013/06/T_5_front-1.jpg	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/wp-content/uploads/2013/06/T_5_front-1.jpg	(from http://event-theme.com/themes/gocourierwp/product/woo-ninja-3/)
00:10:12	2466/2466	---MC-	200	added ('OK')	application/json	date:Mon,%2012%20Nov%202018%2011:10:11%20GMT	http://event-theme.com/themes/gocourierwp/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fevent-theme.com%2Fthemes%2Fgocourierwp%2Fproduct%2Fwoo-ninja-3%2F	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/wp-json/oembed/1.0/embed8110.json	(from http://event-theme.com/themes/gocourierwp/product/woo-ninja-3/)
00:10:13	1330/1330	---MC-	200	added ('OK')	application/rss+xml	etag:%222ad86fd320ed9808c3edae24bff61db8%22	http://event-theme.com/themes/gocourierwp/product/woo-ninja-3/feed/	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/product/woo-ninja-3/feed/index.html	(from http://event-theme.com/themes/gocourierwp/product/woo-ninja-3/)
00:10:15	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2012%20Nov%202018%2011:10:14%20GMT	http://event-theme.com/themes/gocourierwp/?p=147	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/index2fa7.html	(from http://event-theme.com/themes/gocourierwp/product/woo-ninja-3/)
00:10:17	2589/2589	---MCZ	200	added ('OK')	text/xml	date:Mon,%2012%20Nov%202018%2011:10:16%20GMT	http://event-theme.com/themes/gocourierwp/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fevent-theme.com%2Fthemes%2Fgocourierwp%2Fproduct%2Fwoo-ninja-3%2F&format=xml	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/wp-json/oembed/1.0/embed33b5	(from http://event-theme.com/themes/gocourierwp/product/woo-ninja-3/)
00:10:18	17257/17257	---M--	200	added ('OK')	image/jpeg	date:Mon,%2027%20Feb%202017%2007:33:26%20GMT	http://event-theme.com/themes/gocourierwp/wp-content/uploads/2013/06/T_5_front-1-600x600.jpg	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/wp-content/uploads/2013/06/T_5_front-1-600x600.jpg	(from http://event-theme.com/themes/gocourierwp/product/woo-ninja-3/)
00:10:23	87330/87330	---M--	200	added ('OK')	image/jpeg	date:Mon,%2027%20Feb%202017%2007:32:56%20GMT	http://event-theme.com/themes/gocourierwp/wp-content/uploads/2013/06/cd_2_angle-1.jpg	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/wp-content/uploads/2013/06/cd_2_angle-1.jpg	(from http://event-theme.com/themes/gocourierwp/product/woo-ninja-3/)
00:10:29	88616/88616	---M--	200	added ('OK')	image/jpeg	date:Mon,%2027%20Feb%202017%2007:33:22%20GMT	http://event-theme.com/themes/gocourierwp/wp-content/uploads/2013/06/T_4_front1-1.jpg	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/wp-content/uploads/2013/06/T_4_front1-1.jpg	(from http://event-theme.com/themes/gocourierwp/product/woo-ninja-3/)
00:10:38	48279/48279	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Nov%202018%2011:10:20%20GMT	http://event-theme.com/themes/gocourierwp/product/woo-logo-3/	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/product/woo-logo-3/index.html	(from http://event-theme.com/themes/gocourierwp/product/woo-ninja-3/)
00:10:39	47638/47638	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Nov%202018%2011:10:08%20GMT	http://event-theme.com/themes/gocourierwp/2016/05/10/hello-world-2-2/?replytocom=3	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/2016/05/10/hello-world-2-2/index3094.html	(from http://event-theme.com/themes/gocourierwp/2016/05/10/hello-world-2-2/)
00:10:42	5618/5618	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2007%20Feb%202018%2014:13:35%20GMT	http://event-theme.com/themes/gocourierwp/wp-content/plugins/woocommerce/assets/js/frontend/single-product.min.js?ver=3.3.1	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/wp-content/plugins/woocommerce/assets/js/frontend/single-product.min3d36.js	(from http://event-theme.com/themes/gocourierwp/product/woo-ninja-3/)
00:11:34	54710/54710	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Nov%202018%2011:10:18%20GMT	http://event-theme.com/themes/gocourierwp/shop/	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/shop/index.html	(from http://event-theme.com/themes/gocourierwp/product/woo-ninja-3/)
00:11:44	49621/49621	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Nov%202018%2011:10:33%20GMT	http://event-theme.com/themes/gocourierwp/product/woo-ninja-3/?add-to-cart=152	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/product/woo-ninja-3/index4178.html	(from http://event-theme.com/themes/gocourierwp/product/woo-ninja-3/)
00:11:45	47652/47652	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Nov%202018%2011:10:43%20GMT	http://event-theme.com/themes/gocourierwp/product/ship-your-idea-3/	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/product/ship-your-idea-3/index.html	(from http://event-theme.com/themes/gocourierwp/product/woo-ninja-3/)
00:11:49	2497/2497	---MC-	200	added ('OK')	application/json	date:Mon,%2012%20Nov%202018%2011:11:47%20GMT	http://event-theme.com/themes/gocourierwp/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fevent-theme.com%2Fthemes%2Fgocourierwp%2Fproduct%2Fpremium-quality-2%2F	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/wp-json/oembed/1.0/embeddfd6.json	(from http://event-theme.com/themes/gocourierwp/product/premium-quality-2/)
00:11:55	47887/47887	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Nov%202018%2011:10:41%20GMT	http://event-theme.com/themes/gocourierwp/product-category/posters/	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/product-category/posters/index.html	(from http://event-theme.com/themes/gocourierwp/product/woo-ninja-3/)
00:11:59	2620/2620	---MCZ	200	added ('OK')	text/xml	date:Mon,%2012%20Nov%202018%2011:11:57%20GMT	http://event-theme.com/themes/gocourierwp/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fevent-theme.com%2Fthemes%2Fgocourierwp%2Fproduct%2Fpremium-quality-2%2F&format=xml	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/wp-json/oembed/1.0/embedda34	(from http://event-theme.com/themes/gocourierwp/product/premium-quality-2/)
00:12:08	49627/49627	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Nov%202018%2011:11:36%20GMT	http://event-theme.com/themes/gocourierwp/product/woo-ninja-3/?add-to-cart=144	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/product/woo-ninja-3/indexc989.html	(from http://event-theme.com/themes/gocourierwp/product/woo-ninja-3/)
